Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugxr5YdZhxb532k-FBp4AaABAg.AWDZthxHR59AWEblcLQ5Vc,UgyJi3N84p5o3pYOJ1N4AaABAg,@merveakbas6560,@NazanAydın-b2w,Çok büyük nimet. Babam hayattayken hiçbir şey israf olmazdı . O vefat edince israf olmaya başladı.😢,0,5 gün önce (düzenlendi),Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyN1Cx3q2NCopQxYSl4AaABAg,,@Nisa_S,,"Bir Karamanlı olarak biz Arabaşını çok soğuk zamanlarda içeriz genelde kar filan olduğunda içiliyor. Çorba kaynar olur ve biraz acı olur ama yiyebilen ve seven çok daha fazla acı da yapar. Kış ayında içini ısıtır ve yakar aynı zamanda tavukla ve tavuk suyuyla yapıldığı için çok şifalıdır. O yanında yenilen hamur da soğuk olur böyle baya kıyamlı hafif jölemsi bir kıvamı vardır. Çorba kaynar ve acı olduğundan kaşığa az bir lokmalık hamur alınır ve yenir. O soğuk hamur, çorbayı içerken hem çorba sıcak olduğu için hem de acı olduğu için ağzınızın çok yanmasını engeller. Diğer bir amacı da yuttuğun zaman doyuruculuk sağlar bir nevi ekmek mantığı. Yenirken de öyle çiğnemek yasaktır zorla yutmaya çalışacaksın kuralı yoktur çiğneyen birçok kişi de görmüşlüğüm var. Ama burda çiğnememedeki amaç sadece tuzlu hamur olduğu için çok çiğnerseniz içtiğiniz çorbanın tadını çok değiştirebilir ve mide bulandırabilir. Genelde benim gördüğüm hafifçe damakta ezerek yutulur yani ağızda döndere döndere çiğnenmez ama dilinizle damağınıza doğru hamuru ezerseniz çorbayla birlikte midenize kolaylıkla akıp gidecektir. Burda öyle ciğere hava çeker gibi hüpleterek de çorbayı içen hiç görmedim bu arada sosyal medyadan görmüştüm ilk defa öyle bir şeyi ahahahjahsaj Ve ayrıca asıl amaç zaten çorbayı içmek bir dolu hamur alıp da sadece çorbaya bandırma mantığını da hiç anlamamışımdır çevremde bunu yapan hiç görmedim ama belki başka yörelere göre değişiyor olabilir.",3,3 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzzsU1o-jhew5vaorx4AaABAg,,@Zeynep2623,,Bütün yemeği cemile nin yapması atakanla emrenin eğlenmesi hahahaha,31,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxnVwXapaGJRxXHNMh4AaABAg,,@ZeynepCoşkun-e8g,,EMRE ABİ BİDAHAKİ BÖLÜM ARCENEM AÇIK MUTFAK GELMEZSE VALLAHİ YIKILIRIM,29,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwY7K-NhIHsxyHXJYp4AaABAg,,@selin_kargi,,bir yozgatli olarak izledigim en guzel video olabilirr,3,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxsPWq9OybBf5nohtt4AaABAg,,@berfinsse,,29:31 abi herkes hazır su diyordur ya hahbwhshehs,9,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugwup_ClUDdYtdefBgJ4AaABAg,,@mavisiyah07,,"Son zamanlarda biraz zor bir dönemden geçiyorum; kafam oldukça dolu, düşüncelerim birbirine karışmış halde… Böyle zamanlarda hiçbir şeye tam anlamıyla odaklanamıyorum, içimde sürekli bir ağırlık hissi oluyor. Ama video açılır açılmaz, her zamanki gibi beni yavaşça içine aldı. Sohbetin doğallığı, mutfaktaki o sakin ama içten atmosfer, arada yakalanan küçük ve samimi anlar… Hepsi zihnimi susturup kalbimi biraz olsun hafifletti. Bir süreliğine de olsa her şeyi unuttum, sadece izledim ve o anın içinde kaldım.İnsan bazen böyle sade ama içten şeylere ne kadar ihtiyaç duyduğunu o an fark ediyor. Gürültüsüz, gösterişsiz ama samimi… Tam da iyi gelmesi gereken yerden dokundu diyebilirim. O an içimden geçen tek şey “iyi geldi” oldu 🤍 Sanki kısa bir mola vermişim gibi, içim biraz ferahladı, yüzüm fark etmeden gülümsedi. Emeğinize sağlık; bu kadar doğal, bu kadar huzur veren içerikler gerçekten çok kıymetli ✨
 Şimdiden doğum günün kutlu olsun Emre umarım yeni yaşın sana kalbini hafifleten, içini huzurla dolduran, yüzünü sık sık gülümseten ve dönüp baktığında “iyi ki” dedirten anlarla dolu bir yıl getirir. Her şey gönlünce olsun 🌸",6,6 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyjpwyKbuLsau37I214AaABAg,,@Bsryntm,,Mental sağlığıma o kadar iyi geliyorsunuz ki anlatamam🥲🤍,11,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzWaTGdvNaAFPIDQ1d4AaABAg,,@sudezey,,asiriii eglencelii bir bolumdu ozellikle cemilenin enerjisini cok sevdimm emre seni de cokk seviyorumm bol bol acik mutfak gelsin plss,4,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxyE9pkaJff9oXp2CN4AaABAg,,@sila-w5h,,"aysegul,ezgi ve cemile üçlüsü acik mutfakta birleşse cok guzel olurr😻",2,1 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyxYbEuZTbBtB9b_uF4AaABAg,,@niayesh4,,Gerçekten videonun her bir yani ayri guzel siz böyle eğlenirken şakalaşırken bizde cok mutlu oluyoruz tesekkur ederiz Emre🩶,5,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzKrvsLi8pwrFiRkDx4AaABAg,,@Safish-x7u,,Atakanla cemileyi yan yana izlemek harika ya cgh yi ilk izlemeye başladığımdan beri çok güldürdü açık mutfağa geldiğini görmek mükemmel bi süpriz oldu,2,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyhLQ3wEcQb0mM5pIJ4AaABAg,,@MYUNG_puppy,,Ben hala Yeşim ablayı bekliyorum❤❤,17,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzcC9Ljy46VDk1nnGJ4AaABAg,,@haffsa_1,,bır ay sonra tekrar gorusmek uzere acık mutfak🥹🥹,8,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwvWh7eV4PtPCwB48l4AaABAg,,@Aiisluna,,"Büyük azmi ve emeğinden dolayı Cemileye ve katkılarından dolayı annesine teşekkürlerimizi iletiyoruz🙏🏼Rüyasını merak ettik ahajsk
Hem çgh hem no304 hem yt yapıyorsun ya Emre, helal olsun🫵🏻
(İnci seninle gurur duyuyoruz!👏🏻🤍 elimizde büyüdü resmen ya..)",4,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyAIu0nQHWhCbrqPIR4AaABAg,,@Dumanyaksude,,Daha video yayınlanmadan biticek diye üzüldüm bir klonunu yapıp 24 saat canlı olarak açık mutfak yayınlayabilir misin,49,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugxwveu46EpwkzVQTYt4AaABAg,,@meltemhaticeyldz6007,,Yeşimli bir bölüm istek değil ihtiyaç 💯 ❤,5,5 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxFpcTemFMqRxchcC94AaABAg,,@sultan_jjd,,Of gece 4 de izliyorum o kadar zorlaniyorm ki gulmemek için..,2,5 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgxbqGZZRahNe1_G1XB4AaABAg,,@Munise..,,bizde hep hazır su deriz çevremde de öyle hiç içme suyu diyen duymadım zaten su içmek için var atiii😂😂🎉,8,6 gün önce,Hayır
