Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUIADQLvlIf,UgwpIewk5MUD-kiZuTB4AaABAg,@aliceaydin6081,@ezoskilyrics_3004,"Ben deeee. Bu kız bir şey sunmalı, stand up fln bir şey yapmalı. Çok geç fark etmişiz yaa. Doğalının daha komik olması efsane",4,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUSmZaXAC-e,UgwpIewk5MUD-kiZuTB4AaABAg,@pnarkilicc,@ezoskilyrics_3004,Ben deeeee keşke Emre’yle Tuğba beraber bir şeyler çekseler enerjileri çok iyi,2,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUec_EhZDR-,UgwpIewk5MUD-kiZuTB4AaABAg,@superkamil5272,@ezoskilyrics_3004,Tuğbayla Melisten öğrenen de ne bilimmm😂😂,2,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUFYKQjAFOS,UgwpIewk5MUD-kiZuTB4AaABAg,@BerjinEngin,@ezoskilyrics_3004,ayy bendeeee,1,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUKtLbl3niY,UgwpIewk5MUD-kiZuTB4AaABAg,@fbetülyılmazz,@ezoskilyrics_3004,Ben deee,1,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUr24RFSXux,UgwpIewk5MUD-kiZuTB4AaABAg,@Halamm01,@ezoskilyrics_3004,Ben deeee ☺️,0,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAV5zQouSa42,UgwpIewk5MUD-kiZuTB4AaABAg,@denizh2794,@ezoskilyrics_3004,Bendeeeee,0,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAUDyYGezCt5,UgwpIewk5MUD-kiZuTB4AaABAg,@EnesErkal-s2k,@ezoskilyrics_3004,BENDEEEE,1,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAVOOsfm2X3d,UgwpIewk5MUD-kiZuTB4AaABAg,@yldzbelgin4376,@ezoskilyrics_3004,❤❤❤❤❤,0,3 hafta önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAVOQFeX5k3_,UgwpIewk5MUD-kiZuTB4AaABAg,@yldzbelgin4376,@ezoskilyrics_3004,😂😂😂😂😂,0,3 hafta önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgzXIfEfHrhuEOIphG14AaABAg.AU8z9zEO9hrAVOT9dvW8G3,UgwpIewk5MUD-kiZuTB4AaABAg,@yldzbelgin4376,@ezoskilyrics_3004,Bu kadar tatli olunurmu tugbaaa❤❤❤,0,3 hafta önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLAReCuiwGhdz,UgwpIewk5MUD-kiZuTB4AaABAg,@esraoz2191,@ezoskilyrics_3004,Hahah😂 ben aysegul cok donuktu eglenmek icin tugbayi tekrar izliyorum,9,3 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLARZ6I6U4adp,UgwpIewk5MUD-kiZuTB4AaABAg,@Asinvb.53,@ezoskilyrics_3004,Komikti geri geldim😂😂😂😂😂,3,4 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLARdOv0pt-Jr,UgwpIewk5MUD-kiZuTB4AaABAg,@Kuşlar-f9s,@ezoskilyrics_3004,Tabiki de ben🙋‍♀️🙋‍♀️,3,3 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLAS5GBxyQEDs,UgwpIewk5MUD-kiZuTB4AaABAg,@ergingokay5077,@ezoskilyrics_3004,😂,2,3 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLARYsvEn7a-K,UgwpIewk5MUD-kiZuTB4AaABAg,@zohre5496,@ezoskilyrics_3004,😂😂😂,1,4 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLARq2KZUBkEv,UgwpIewk5MUD-kiZuTB4AaABAg,@zzeyn._.1,@ezoskilyrics_3004,Ay evett,1,3 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLAS6VGOBrp2N,UgwpIewk5MUD-kiZuTB4AaABAg,@ggoldenday6394,@ezoskilyrics_3004,Orada bahsedince geldim ben de,1,3 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLASl2xNtGxz-,UgwpIewk5MUD-kiZuTB4AaABAg,@seyma_er,@ezoskilyrics_3004,Beenn,0,3 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,Ugz0tt8mbtSvI6lYDnx4AaABAg.ARW_-TAqcHLAUDBiP4-0FV,UgwpIewk5MUD-kiZuTB4AaABAg,@betul26500,@ezoskilyrics_3004,Benn,0,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgzlvgeWqQFDB8YUokF4AaABAg.AEIZok-pJ7BAEK7wRCF8Qu,UgwpIewk5MUD-kiZuTB4AaABAg,@bwaraz,@ezoskilyrics_3004,telefon 10 000 00 tl,3,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgzlvgeWqQFDB8YUokF4AaABAg.AEIZok-pJ7BALMYlpXB-gB,UgwpIewk5MUD-kiZuTB4AaABAg,@ashn_asi,@ezoskilyrics_3004,Psikologlar da açık mutfak izliyor 😅,2,9 ay önce,Evet
